"No","種別","種類","レベル","言語活動","カテゴリー","第1トピック","JF Can-do (日本語)","JF Can-do (English)"
"1","JF","活動","B2","産出","経験や物語を語る","自由時間と娯楽","Can give a good summary to a friend about new developments in an episode of a television series he/she had missed, for example, while making connections to what had happened so far.",""
"2","JF","活動","B2","産出","経験や物語を語る","学校と教育","Can talk articulately and in detail at a teacher training workshop, for example, about one's experiences with class activities, development of teaching material, etc., while including one's own values and ideas.",""
"239","JF","まるごと","活動","B1","産出","経験や物語を語る","これまでの経験や今後の希望、抱負などを交えて、まとまりのある自己紹介をすることができる。",""
"249","JF","まるごと","活動","B1","産出","経験や物語を語る","自分の国の昔話など、物語のストーリーを順序だてて友人に説明することができる。",""
"3","JF","まるごと","活動","B1","産出","経験や物語を語る","スポーツなど、よく知っているゲームの簡単なルールなどを順序だてて友人に説明することができる。",""
"555","JF","まるごと","活動","B1","産出","経験や物語を語る","自分の好きな映画などについて、好きな理由や魅力、印象に残ったシーンなどを、ある程度詳しく友人に語ることができる。",""
"556","JF","まるごと","活動","B1","産出","経験や物語を語る","自分の好きな音楽のジャンルやアーティストなどについて、好きな理由や魅力などを、ある程度詳しく友人に語ることができる。",""
"4","JF","活動","B1","産出","経験や物語を語る","仕事と職業","Can introduce in some detail the functions of the equipment, production processes, etc. when giving a guest a tour of a factory belonging to one's company.",""
"5","JF","活動","B1","産出","経験や物語を語る","旅行と交通","Can narrate to a friend about places one visited and events that occurred during a vacation etc., while giving the friend a souvenir.",""
"557","JF","まるごと","活動","B1","産出","経験や物語を語る","行きたい旅行先について、訪れたい場所やそこで何をしたいかなどの希望を、ある程度詳しく友人に話すことができる。",""
"558","JF","まるごと","活動","B1","産出","経験や物語を語る","自分の国に遊びに来た友人などに、その土地のお土産について、特徴やすすめる理由などをあげながら、ある程度詳しく紹介することができる。",""
"559","JF","まるごと","活動","B1","産出","経験や物語を語る","自分の国に赴任してきた同僚などに、交通機関の利用方法や注意する点などを、ある程度詳しく説明することができる。",""
"6","JF","活動","B1","産出","経験や物語を語る","健康","Can talk to a friend about how one stays healthy, such as by jogging in the mornings, giving simple details such as why one started jogging, for example.",""
"7","JF","活動","B1","産出","経験や物語を語る","買い物","Can talk in some detail to a friend about something one just bought, such as an electronic dictionary, while comparing it with the device one previously had.",""
"8","JF","まるごと","活動","B1","産出","経験や物語を語る","自分の得意な料理の作り方などを順序だてて友人に説明することができる。",""
"560","JF","まるごと","活動","B1","産出","経験や物語を語る","自分がよく知っている人の性格や人柄について、具体的なエピソードを交えて、友人に話すことができる。",""
"561","JF","まるごと","活動","B1","産出","経験や物語を語る","久しぶりに会った友人に、自分の近況などについて、まとまりのある話を語ることができる。",""
"9","JF","活動","B1","産出","経験や物語を語る","学校と教育","Can talk to a friend about one's school life or lessons one took as a child, for example, while associating them with, for example, the dreams one had in those days.",""
