	　『まるごと』文法・文型リスト： 入門（理解）、初級1（理解）、初級2（理解）、初中級、中級1、中級2							Ver.2024/1/31
ＮＯ	見出し	教科書での形	分類	例文	教科書	トピック	課／PＡRT	JFSのトピック
1	～は～です	N1はN2です（か）／じゃないです　Nはなんですか	説明	私はカーラです。	入門(りかい)	2　 わたし	3　どうぞよろしく	1　自分と家族
2	～ができる	N（言葉）ができます（か）　Nはできません	可能・難易	私は日本語ができます。	入門(りかい)	2　 わたし	3　どうぞよろしく	1　自分と家族
3	～も	Nも	付加	私もエンジニアです。	入門(りかい)	2　 わたし	3　どうぞよろしく	1　自分と家族
4	～と～	N1（人）とN2（人）	並列・反復	家族は父と母と私です。	入門(りかい)	2　 わたし	4　家族は3人です	1　自分と家族
5	～に住んでいる	N（場所）に住んでいます	様子・状態	姉は大阪に住んでいます。	入門(りかい)	2　 わたし	4　家族は3人です	1　自分と家族
6	～の～	N1（人）のN2（人）	関連・対応	兄の子どもは4歳です。	入門(りかい)	2　 わたし	4　家族は3人です	1　自分と家族
7	～が好き	Nが好きです	説明	肉が好きです。	入門(りかい)	3　食べ物	5　何が好きですか	9　食生活
8	～は好きじゃない	Nは好きじゃないです	説明	野菜は好きじゃないです。	入門(りかい)	3　食べ物	5　何が好きですか	9　食生活
9	～を～ます	NをV‐ます　NはV‐ません	説明	朝ご飯を食べます。	入門(りかい)	3　食べ物	5　何が好きですか	9　食生活
10	よく	よくV‐ます　あまりV‐ません	並列・反復	コーヒーをよく飲みます。	入門(りかい)	3　食べ物	5　何が好きですか	9　食生活
11	好きな～	好きな／嫌いなN1はN2です	説明	好きな料理はカレーです。	入門(りかい)	3　食べ物	6　どこで食べますか	9　食生活
12	～で（～ます）	N（場所）でV‐ます	時点・場面	ラーメン屋さんでラーメンを食べます。	入門(りかい)	3　食べ物	6　どこで食べますか	9　食生活
13	～は～です	NはイA‐いです／イA‐くないです	様子・状態	あの店はおいしいです。	入門(りかい)	3　食べ物	6　どこで食べますか	9　食生活
14	～に～がある	N1（場所）にN2（物）があります／ありません	様子・状態	家にエアコンがあります。	入門(りかい)	4　家	7　部屋が3つあります	2　住まいと住環境
15	～に～がいる	N1（場所）にN2（生物）がいます／いません	様子・状態	家にねこがいます。	入門(りかい)	4　家	7　部屋が3つあります	2　住まいと住環境
